"","C1","C2","C3","C4","M2","M3","M4","M5"
"Pdia3",12.8889986551973,12.8183754060913,12.7047360566871,12.7563755096981,13.544095118182,13.5671551414423,13.7890531779465,13.0740758944665
"Hnf4a",13.7522327666075,13.7346633492539,13.5621943694506,13.3962249208707,12.9206285170882,12.9247821937356,12.3100005086439,12.3152695985823
"Aldh2",13.8746481831642,13.8740702166648,13.9296533045524,12.734216998116,12.7195607033727,12.3313699534627,11.8115333499796,11.8357171410523
"Ivns1abp",13.5225520305549,13.3754597478359,13.4592941691268,12.9114157622195,13.1837100256962,13.4980280997456,12.2807985040414,12.4065669776864
"Gpx2",11.900365328271,11.7345809438865,11.4107461413568,11.9348755352184,13.609368326975,12.0277269911384,15.3190300563737,13.7607112504862
"Col1a2",12.6198499980256,12.7010224656755,12.7062363933286,12.5486427697628,9.7572418551171,10.4373685898091,11.2196451562977,14.1582252607375
"Hspa5",12.773090678382,12.8069009697453,12.4133783071721,12.6635443753864,12.9530997969229,12.9078594439152,13.938611902109,13.644935594583
"Car3",9.41079574148628,7.30556665682926,10.1932730590618,8.46509654106127,6.82751363974147,7.63601225852108,5.06604782297582,8.53145277804496
"Cs",13.1930749672069,13.2962424481515,13.2090087589291,13.0171751646759,13.4980533364252,13.0861342808233,13.1521392111891,12.3762128125572
"Ubb",12.908731774927,12.659813971255,12.8885903571238,12.6548186032422,13.0690889153697,12.5998110607137,13.0994985743588,12.3102610133597
"Rpl5",12.8968155479761,12.8915662726333,12.8971546556125,12.5340284376793,13.1150477112426,12.7079372091321,13.7847825486084,12.8813664564651
"Gpa33",13.5051759107185,13.5512139969378,13.4393601577196,13.1510740476061,13.4412757679163,12.9923987404815,12.8784851613358,12.250853909072
"Ezr",13.1565932593159,13.4428177698354,13.320596692567,13.5005886659571,13.1707851848527,13.175772559032,13.2505796192985,12.4997070582177
"Rrbp1",12.983023126023,13.0616382530492,12.8432856634252,13.1861202179316,13.3491030779392,13.5659177539565,12.961494208352,12.7869950421593
"Slc6a8",13.2331153161823,13.443615934331,13.168766160678,12.6914513226995,13.5398538573527,13.8442578497344,12.5365584630574,11.5460021652011
"Tfcp2l1",13.7142614223269,13.8576522197543,13.4917361678436,13.3946307304624,12.8724213769934,12.5066994173379,12.0339332678474,11.5612609021841
"Ddx17",12.9760040780326,12.9124726656536,13.0817171137568,13.0642060157378,12.8896332658834,13.1137363332837,12.4154693344176,12.8540933434192
"Sprr2a1",13.3016799695251,13.4341234407077,13.3212087722937,13.2513687091766,13.667027082307,13.2489741427714,13.7085394120308,11.6762905096063
"Ywhaz",12.3049132759536,12.5941668272374,12.5125369368157,12.7051130660222,13.6099079183436,13.5302891634263,13.852939098453,12.7895166268953
"Cox4i1",12.7291695733113,12.5828257263726,12.8362799186157,12.7492647209045,13.7914045254232,13.4199528686496,13.428226297749,11.8557941476917
"Slc26a3",13.7348940395943,13.9841229426753,13.7987391136203,13.2858087968573,13.1108603030333,12.963155299423,11.186474844058,10.1997417127566
